Feature	Gain	Cover	Frequency
Visa_mconsumototal_lag1	0.0022153075421639	0.00148841266366038	0.00409450561611243
mcaja_ahorro_delta2	0.00219880269979728	0.0021250418394728	0.00403917445913794
Master_mfinanciacion_limite_lag2	0.00216405404828083	0.000964882825558012	0.00315387594754606
internet_lag1	0.00214692803131091	0.0019371102945645	0.00185359375864549
Visa_mfinanciacion_limite_delta2	0.00210826449332044	0.00112653852399307	0.00362419078182925
Visa_mfinanciacion_limite_lag2	0.00206080504178349	0.00179642288023631	0.00337520057544403
mcomisiones_mantenimiento_lag2	0.00205194968399279	0.00456675581615393	0.003596525203342
ctrx_quarter_lag1	0.00203522696927539	0.00181370081747958	0.003596525203342
Visa_mlimitecompra	0.00201451441598708	0.00188407913291124	0.00296021689813534
Master_mlimitecompra_delta2	0.00200746895694103	0.00259252406893493	0.00373485309577823
Visa_msaldototal_delta1	0.00200673037038803	0.00153068161544379	0.00351352846788026
Visa_msaldototal_lag1	0.00199166303303977	0.00200517322076243	0.00326453826149505
Master_fultimo_cierre_lag1	0.00199008085746152	0.00165272382562497	0.00376251867426548
mcaja_ahorro_delta1	0.00198001811068028	0.00517883835719507	0.00417750235157417
mttarjeta_visa_debitos_automaticos_delta1	0.00197467702077625	0.00195512918520279	0.00362419078182925
mttarjeta_visa_debitos_automaticos_lag1	0.00197300405539879	0.00151517350654981	0.00351352846788026
Visa_mlimitecompra_delta2	0.00197190355232786	0.00132128813794554	0.00329220383998229
mtarjeta_master_consumo	0.00193237253889042	0.00131829091777388	0.00110662313948985
mprestamos_personales_delta1	0.00192085936303606	0.00579714846371516	0.00235157417141592
ccomisiones_otras_lag2	0.00190571845288917	0.00256318635212356	0.00356885962485476
Visa_cconsumos_lag1	0.00187652777537819	0.00138344098145232	0.00320920710452056
Master_mfinanciacion_limite_delta2	0.00186079571431177	0.00216162950766725	0.003596525203342
Master_fultimo_cierre_lag2	0.00183813233749601	0.00178353778962102	0.00356885962485476
Master_mlimitecompra	0.00180986752156186	0.00133012670494362	0.00282188900569911
mtransferencias_recibidas_lag2	0.00178952544035533	0.00197237708054714	0.00290488574116085
rf_016_002	0.00178227316533349	0.000128653831295955	0.000165993470923477
Visa_mfinanciacion_limite_delta1	0.00177431142428015	0.00188869308791529	0.00326453826149505
ccallcenter_transacciones_delta2	0.00176333148422731	0.00210599503522099	0.00149394123831129
ctarjeta_visa_transacciones_lag1	0.00174378050873293	0.000651105045059426	0.00282188900569911
Visa_mfinanciacion_limite_lag1	0.00173559686139256	0.00147064876866014	0.00284955458418636
mtarjeta_visa_consumo_delta1	0.0017232008648906	0.0032859110438781	0.00326453826149505
ctarjeta_visa_transacciones_delta1	0.00172175936258629	0.00398681065656852	0.00304321363359708
cproductos_lag2	0.00171137806885701	0.00207766720688378	0.00271122669175012
mtransferencias_recibidas_lag1	0.00170796891574607	0.00260259579579996	0.0032368726830078
ccomisiones_otras_lag1	0.00170320066304791	0.00177299404444012	0.00334753499695679
mtransferencias_recibidas_delta2	0.00168884095606412	0.00226758103645055	0.00356885962485476
Master_mfinanciacion_limite_delta1	0.0016738334722419	0.00109635410630248	0.00279422342721186
kmes_lag1	0.00165049825568608	0.000762601827713369	0.00273889227023737
rf_008_001	0.00163822430768377	0.000435033613933578	0.000331986941846954
Visa_cconsumos_delta2	0.00163559523748346	0.001434002458679	0.00279422342721186
mprestamos_personales_lag2	0.00163364959511197	0.00357157825905248	0.00154927239528579
Master_mpagominimo_delta1	0.00163247656371637	0.00203661915787256	0.00190892491561999
rf_006_004	0.00162042853666052	0.000201204776857658	0.000525645991257677
cproductos_delta1	0.00157632241014807	0.0033561458792005	0.00105129198251535
rf_013_012	0.00156291883589345	0.000235901487766354	0.000248990206385216
Visa_mlimitecompra_delta1	0.00153591292134946	0.00157148091753193	0.00293255131964809
ctarjeta_visa_transacciones_lag2	0.00151402536212497	0.00111046755008089	0.00284955458418636
ccomisiones_otras_delta2	0.00146519297446408	0.00186995199002691	0.00248990206385216
Visa_msaldototal_lag2	0.00146313629151289	0.00114100934620107	0.00254523322082665
rf_015_003_delta2	0.0014433313419847	0.000716717273310887	0.000193659049410723
Master_mlimitecompra_delta1	0.00144213989003654	0.00109940347921067	0.00254523322082665
Visa_cconsumos_delta1	0.00143976296894271	0.00127868199588863	0.00243457090687766
mtarjeta_visa_consumo_lag2	0.00140583664041642	0.00331031275652898	0.00265589553477563
Visa_mlimitecompra_lag1	0.00136172027486943	0.00110027709763132	0.00204725280805622
thomebanking	0.00133956560448628	0.000703656257335511	0.00152160681679854
cdescubierto_preacordado_delta1	0.00133487479138598	0.00470336690530118	0.000829967354617385
mcomisiones_mantenimiento_lag1	0.00132379872275655	0.00192025318424133	0.00248990206385216
mtarjeta_visa_consumo_lag1	0.00131010766524984	0.00186124152168584	0.00218558070049245
mtransferencias_recibidas_delta1	0.00127256142180174	0.00176169949212137	0.00248990206385216
Master_msaldototal	0.00127213016119876	0.00371562531902093	0.00232390859292868
mprestamos_personales_lag1	0.00125675728593981	0.00170049645329091	0.00132794776738782
mtarjeta_visa_consumo_delta2	0.00125529393422289	0.00119264271838128	0.00240690532839042
cproductos_lag1	0.00121846489239213	0.00212999082173363	0.00235157417141592
